JASON NOTICE SYSTEM - COMPLETE EMAIL LIST
Generated: December 26, 2025
============================================================

PHASE 1: TOMORROW (Dec 27 - Birthday Launch) - 12 emails
------------------------------------------------------------
  nuntiususa@nuntiususa.org                Apostolic Nunciature (US)
  communications@usccb.org                 USCCB Headquarters
  info@la-archdiocese.org                  Archdiocese of Los Angeles
  communications@archny.org                Archdiocese of New York
  info@archchicago.org                     Archdiocese of Chicago
  communications@archphila.org             Archdiocese of Philadelphia
  communications@rcab.org                  Archdiocese of Boston
  info@sfarchdiocese.org                   Archdiocese of San Francisco
  info@seattlearch.org                     Archdiocese of Seattle
  info@archdioceseofanchorage.org          Archdiocese of Anchorage-Juneau
  info@archdpdx.org                        Archdiocese of Portland


PHASE 2: EXPANDED (176 dioceses - after Phase 1)
------------------------------------------------------------
  info@mobarch.org                         Archdiocese of Mobile
  info@bhmdiocese.org                      Diocese of Birmingham
  info@aoaj.org                            Archdiocese of Anchorage-Juneau
  info@dioceseoffairbanks.org              Diocese of Fairbanks
  info@diocesephoenix.org                  Diocese of Phoenix
  info@diocesetucson.org                   Diocese of Tucson
  info@dolr.org                            Diocese of Little Rock
  info@lacatholics.org                     Archdiocese of Los Angeles
  info@sfarchdiocese.org                   Archdiocese of San Francisco
  info@dioceseoffresno.org                 Diocese of Fresno
  info@dioceseofmonterey.org               Diocese of Monterey
  info@oakdiocese.org                      Diocese of Oakland
  info@rcbo.org                            Diocese of Orange
  info@scd.org                             Diocese of Sacramento
  info@sbdiocese.org                       Diocese of San Bernardino
  info@sdcatholic.org                      Diocese of San Diego
  info@dsj.org                             Diocese of San Jose
  info@srdiocese.org                       Diocese of Santa Rosa
  info@stocktondiocese.org                 Diocese of Stockton
  info@archden.org                         Archdiocese of Denver
  info@diocs.org                           Diocese of Colorado Springs
  info@dioceseofpueblo.org                 Diocese of Pueblo
  info@archdioceseofhartford.org           Archdiocese of Hartford
  info@bridgeportdiocese.com               Diocese of Bridgeport
  info@norwichdiocese.org                  Diocese of Norwich
  info@cdow.org                            Diocese of Wilmington
  info@miamiarch.org                       Archdiocese of Miami
  info@orlandodiocese.org                  Diocese of Orlando
  info@diocesepb.org                       Diocese of Palm Beach
  info@ptdiocese.org                       Diocese of Pensacola-Tallahassee
  info@dosafl.com                          Diocese of St. Augustine
  info@dosp.org                            Diocese of St. Petersburg
  info@dioceseofvenice.org                 Diocese of Venice
  info@archatl.com                         Archdiocese of Atlanta
  info@diosav.org                          Diocese of Savannah
  info@catholichawaii.org                  Diocese of Honolulu
  info@catholicidaho.org                   Diocese of Boise
  info@archchicago.org                     Archdiocese of Chicago
  info@diobelle.org                        Diocese of Belleville
  info@dioceseofjoliet.org                 Diocese of Joliet
  info@cdop.org                            Diocese of Peoria
  info@rockforddiocese.org                 Diocese of Rockford
  info@dio.org                             Diocese of Springfield in Illinois
  info@archindy.org                        Archdiocese of Indianapolis
  info@evdio.org                           Diocese of Evansville
  info@diocesefwsb.org                     Diocese of Fort Wayne-South Bend
  info@dcgary.org                          Diocese of Gary
  info@dol-in.org                          Diocese of Lafayette in Indiana
  info@dbqarch.org                         Archdiocese of Dubuque
  info@davenportdiocese.org                Diocese of Davenport
  info@dmdiocese.org                       Diocese of Des Moines
  info@scdiocese.org                       Diocese of Sioux City
  info@archkck.org                         Archdiocese of Kansas City in Kansas
  info@dcdiocese.org                       Diocese of Dodge City
  info@salinadiocese.org                   Diocese of Salina
  info@catholicdioceseofwichita.org        Diocese of Wichita
  info@archlou.org                         Archdiocese of Louisville
  info@covingtondiocese.org                Diocese of Covington
  info@cdlex.org                           Diocese of Lexington
  info@rcdok.org                           Diocese of Owensboro
  info@arch-no.org                         Archdiocese of New Orleans
  info@diocesealex.org                     Diocese of Alexandria
  info@diobr.org                           Diocese of Baton Rouge
  info@htdiocese.org                       Diocese of Houma-Thibodaux
  info@diolaf.org                          Diocese of Lafayette in Louisiana
  info@lcdiocese.org                       Diocese of Lake Charles
  info@dioshpt.org                         Diocese of Shreveport
  info@portlanddiocese.net                 Diocese of Portland in Maine
  info@archbalt.org                        Archdiocese of Baltimore
  info@bostoncatholic.org                  Archdiocese of Boston
  info@fallriverdiocese.org                Diocese of Fall River
  info@diospringfield.org                  Diocese of Springfield MA
  info@worcesterdiocese.org                Diocese of Worcester
  info@aod.org                             Archdiocese of Detroit
  info@dioceseofgaylord.org                Diocese of Gaylord
  info@grdiocese.org                       Diocese of Grand Rapids
  info@dioceseofkalamazoo.org              Diocese of Kalamazoo
  info@dioceseoflansing.org                Diocese of Lansing
  info@dioceseofmarquette.org              Diocese of Marquette
  info@saginaw.org                         Diocese of Saginaw
  info@archspm.org                         Archdiocese of St. Paul and Minneapolis
  info@crookston.org                       Diocese of Crookston
  info@dioceseduluth.org                   Diocese of Duluth
  info@dnu.org                             Diocese of New Ulm
  info@stcdio.org                          Diocese of St. Cloud
  info@dow.org                             Diocese of Winona-Rochester
  info@biloxidiocese.org                   Diocese of Biloxi
  info@jacksondiocese.org                  Diocese of Jackson
  info@archstl.org                         Archdiocese of St. Louis
  info@diojeffcity.org                     Diocese of Jefferson City
  info@kcsjcatholic.org                    Diocese of Kansas City-St. Joseph
  info@dioscg.org                          Diocese of Springfield-Cape Girardeau
  info@diocesegfb.org                      Diocese of Great Falls-Billings
  info@diocesehelena.org                   Diocese of Helena
  info@archomaha.org                       Archdiocese of Omaha
  info@gidiocese.org                       Diocese of Grand Island
  info@dioceseoflincoln.org                Diocese of Lincoln
  info@lvcatholic.org                      Archdiocese of Las Vegas
  info@dioceseofreno.org                   Diocese of Reno
  info@catholicnh.org                      Diocese of Manchester
  info@rcan.org                            Archdiocese of Newark
  info@camdendiocese.org                   Diocese of Camden
  info@diometuchen.org                     Diocese of Metuchen
  info@patersondiocese.org                 Diocese of Paterson
  info@dioceseoftrenton.org                Diocese of Trenton
  info@archdiosf.org                       Archdiocese of Santa Fe
  info@dioceseofgallup.org                 Diocese of Gallup
  info@rcdlc.org                           Diocese of Las Cruces
  info@archny.org                          Archdiocese of New York
  info@rcda.org                            Diocese of Albany
  info@dioceseofbrooklyn.org               Diocese of Brooklyn
  info@buffalodiocese.org                  Diocese of Buffalo
  info@rcdony.org                          Diocese of Ogdensburg
  info@dor.org                             Diocese of Rochester
  info@drvc.org                            Diocese of Rockville Centre
  info@syracusediocese.org                 Diocese of Syracuse
  info@charlottediocese.org                Diocese of Charlotte
  info@dioceseofraleigh.org                Diocese of Raleigh
  info@bismarckdiocese.com                 Diocese of Bismarck
  info@fargodiocese.org                    Diocese of Fargo
  info@catholiccincinnati.org              Archdiocese of Cincinnati
  info@dioceseofcleveland.org              Diocese of Cleveland
  info@colsdioc.org                        Diocese of Columbus
  info@diosteub.org                        Diocese of Steubenville
  info@toledodiocese.org                   Diocese of Toledo
  info@doy.org                             Diocese of Youngstown
  info@archokc.org                         Archdiocese of Oklahoma City
  info@dioceseoftulsa.org                  Diocese of Tulsa
  info@archdpdx.org                        Archdiocese of Portland in Oregon
  info@dioceseofbaker.org                  Diocese of Baker
  info@archphila.org                       Archdiocese of Philadelphia
  info@allentowndiocese.org                Diocese of Allentown
  info@ajdiocese.org                       Diocese of Altoona-Johnstown
  info@eriercd.org                         Diocese of Erie
  info@dioceseofgreensburg.org             Diocese of Greensburg
  info@hbgdiocese.org                      Diocese of Harrisburg
  info@diopitt.org                         Diocese of Pittsburgh
  info@dioceseofscranton.org               Diocese of Scranton
  info@dioceseofprovidence.org             Diocese of Providence
  info@charlestondiocese.org               Diocese of Charleston
  info@rapidcitydiocese.org                Diocese of Rapid City
  info@sfcatholic.org                      Diocese of Sioux Falls
  info@dioknox.org                         Diocese of Knoxville
  info@cdom.org                            Diocese of Memphis
  info@dioceseofnashville.com              Diocese of Nashville
  info@archgh.org                          Archdiocese of Galveston-Houston
  info@archsa.org                          Archdiocese of San Antonio
  info@amarillodiocese.org                 Diocese of Amarillo
  info@austindiocese.org                   Diocese of Austin
  info@dioceseofbmt.org                    Diocese of Beaumont
  info@cdob.org                            Diocese of Brownsville
  info@diocesecc.org                       Diocese of Corpus Christi
  info@cathdal.org                         Diocese of Dallas
  info@elpasodiocese.org                   Diocese of El Paso
  info@fwdioc.org                          Diocese of Fort Worth
  info@dioceseoflaredo.org                 Diocese of Laredo
  info@catholiclubbock.org                 Diocese of Lubbock
  info@sanangelodiocese.org                Diocese of San Angelo
  info@dioceseoftyler.org                  Diocese of Tyler
  info@victoriadiocese.org                 Diocese of Victoria
  info@utahcatholicdiocese.org             Diocese of Salt Lake City
  info@vermontcatholic.org                 Diocese of Burlington
  info@arlingtondiocese.org                Diocese of Arlington
  info@richmonddiocese.org                 Diocese of Richmond
